date,value,rate
2016/1/1,17555268,2.93
2017/1/1,17983347,2.44
2018/1/1,18375022,2.18
2019/1/1,18932525,3.03
2020/1/1,19774477,4.45
,,
 ,,
,,
,,
,,
,,
,,
 ,,
