date,rate
2014/4/1,7.2
2014/7/1,8.7
2014/10/1,2.1
2015/1/1,7.8
2015/4/1,7.1
2015/7/1,7.1
2015/10/1,8.6
2016/1/1,8.8
2016/4/1,7
2016/7/1,9.6
2016/10/1,11.2
2017/1/1,4.9
2017/4/1,8.6
2017/7/1,4.9
2017/10/1,4.2
2018/1/1,7.5
2018/4/1,6.8
2018/7/1,9.1
2018/10/1,7.9
2019/1/1,6.6
2019/4/1,7.6
2019/7/1,6.5
2019/10/1,6.4
2020/1/1,2
2020/4/1,-26.3
2020/7/1,-11.3
2020/10/1,-2.4
